2026-03-29 08:22:30 | slowdown | Conf:0.86 | Action:reduce_speed | Speed:30
2026-03-29 08:22:31 | slowdown | Conf:0.84 | Action:reduce_speed | Speed:30
2026-03-29 08:22:33 | slowdown | Conf:0.79 | Action:reduce_speed | Speed:30
2026-03-29 08:22:34 | slowdown | Conf:0.81 | Action:reduce_speed | Speed:30
2026-03-29 08:22:35 | slowdown | Conf:0.84 | Action:reduce_speed | Speed:30
2026-03-29 08:22:36 | slowdown | Conf:0.82 | Action:reduce_speed | Speed:30
2026-03-29 08:22:37 | slowdown | Conf:0.85 | Action:reduce_speed | Speed:30
2026-03-29 08:22:38 | slowdown | Conf:0.84 | Action:reduce_speed | Speed:30
2026-03-29 08:22:39 | slowdown | Conf:0.8 | Action:reduce_speed | Speed:30
2026-03-29 08:22:40 | slowdown | Conf:0.81 | Action:reduce_speed | Speed:30
2026-03-29 08:22:41 | slowdown | Conf:0.78 | Action:reduce_speed | Speed:30
2026-03-29 08:22:42 | slowdown | Conf:0.79 | Action:reduce_speed | Speed:30
2026-03-29 08:22:43 | slowdown | Conf:0.78 | Action:reduce_speed | Speed:30
2026-03-29 08:22:45 | slowdown | Conf:0.84 | Action:reduce_speed | Speed:30
2026-03-29 08:22:46 | slowdown | Conf:0.77 | Action:reduce_speed | Speed:30
2026-03-29 08:23:16 | slowdown | Conf:0.82 | Action:reduce_speed | Speed:30
2026-03-29 08:23:17 | speedlimit | Conf:0.84 | Action:set_speed | Speed:40
2026-03-29 08:23:18 | speedlimit | Conf:0.91 | Action:set_speed | Speed:40
2026-03-29 08:23:19 | speedlimit | Conf:0.85 | Action:set_speed | Speed:40
2026-03-29 08:23:20 | speedlimit | Conf:0.86 | Action:set_speed | Speed:40
2026-03-29 08:23:21 | speedlimit | Conf:0.86 | Action:set_speed | Speed:40
2026-03-29 08:23:22 | speedlimit | Conf:0.9 | Action:set_speed | Speed:40
2026-03-29 08:23:23 | speedlimit | Conf:0.89 | Action:set_speed | Speed:40
2026-03-29 08:23:24 | speedlimit | Conf:0.9 | Action:set_speed | Speed:40
2026-03-29 08:23:28 | speedlimit | Conf:0.8 | Action:set_speed | Speed:40
2026-03-29 08:23:29 | crossing | Conf:0.79 | Action:reduce_speed | Speed:25
2026-03-29 08:23:30 | crossing | Conf:0.77 | Action:reduce_speed | Speed:25
2026-03-29 08:23:31 | crossing | Conf:0.78 | Action:reduce_speed | Speed:25
2026-03-29 08:23:32 | crossing | Conf:0.76 | Action:reduce_speed | Speed:25
2026-03-29 08:23:33 | crossing | Conf:0.77 | Action:reduce_speed | Speed:25
2026-03-29 08:23:38 | crossing | Conf:0.77 | Action:reduce_speed | Speed:25
2026-03-29 08:23:40 | workinprogress | Conf:0.8 | Action:reduce_speed | Speed:20
2026-03-29 08:23:42 | workinprogress | Conf:0.81 | Action:reduce_speed | Speed:20
2026-03-29 08:23:43 | workinprogress | Conf:0.82 | Action:reduce_speed | Speed:20
2026-03-29 08:23:44 | workinprogress | Conf:0.77 | Action:reduce_speed | Speed:20
2026-03-29 08:23:45 | workinprogress | Conf:0.76 | Action:reduce_speed | Speed:20
2026-03-29 08:23:46 | workinprogress | Conf:0.73 | Action:reduce_speed | Speed:20
2026-03-29 08:23:48 | workinprogress | Conf:0.75 | Action:reduce_speed | Speed:20
2026-03-29 08:23:49 | workinprogress | Conf:0.78 | Action:reduce_speed | Speed:20
2026-03-29 08:24:06 | workinprogress | Conf:0.71 | Action:reduce_speed | Speed:20
2026-03-29 08:24:08 | slowdown | Conf:0.75 | Action:reduce_speed | Speed:30
2026-04-01 10:31:27 | slowdown | Conf:0.71 | Action:notify_only | Speed:None
2026-04-01 10:31:31 | slowdown | Conf:0.72 | Action:notify_only | Speed:None
2026-04-01 10:31:39 | slowdown | Conf:0.73 | Action:notify_only | Speed:None
2026-04-01 10:31:45 | slowdown | Conf:0.75 | Action:notify_only | Speed:None
2026-04-01 10:31:47 | slowdown | Conf:0.84 | Action:notify_only | Speed:None
2026-04-01 10:31:48 | slowdown | Conf:0.86 | Action:notify_only | Speed:None
2026-04-01 10:31:49 | slowdown | Conf:0.84 | Action:notify_only | Speed:None
2026-04-01 10:31:50 | slowdown | Conf:0.82 | Action:notify_only | Speed:None
2026-04-01 10:31:51 | slowdown | Conf:0.83 | Action:notify_only | Speed:None
2026-04-01 10:31:53 | slowdown | Conf:0.82 | Action:notify_only | Speed:None
2026-04-01 10:31:54 | slowdown | Conf:0.87 | Action:notify_only | Speed:None
2026-04-01 10:31:59 | slowdown | Conf:0.86 | Action:notify_only | Speed:None
2026-04-01 10:32:00 | slowdown | Conf:0.86 | Action:notify_only | Speed:None
2026-04-01 10:32:03 | slowdown | Conf:0.77 | Action:notify_only | Speed:None
2026-04-01 10:32:05 | speedlimit | Conf:0.71 | Action:set_speed | Speed:30
2026-04-01 10:32:06 | speedlimit | Conf:0.75 | Action:set_speed | Speed:30
